,first,second,third
A_230,"3,427","3,4","3,43"
B_230,"3,904","3,385","3,393"
C_230,"3,33","3,303","3,298"
D_230,"3,282","3,312","3,288"
E_230,"3,223","3,207","3,224"
F_230,"3,162","3,125","3,158"
G_230,"2,464","2,507","2,832"
H_230,"1,374","1,462","1,719"
A_280,"2,913","2,909","2,92"
B_280,"3,175","2,803","2,853"
С_280,"2,792","2,731","2,756"
D_280,"2,255","2,146","2,426"
E_280,"1,198","1,177","1,344"
F_280,"0,714","0,635","0,759"
G_280,"0,354","0,355","0,417"
H_280,"0,206","0,209","0,242"
A_300,"1,776","1,588","1,946"
B_300,"1,722","0,909","1,051"
C_300,"0,559","0,479","0,578"
D_300,"0,306","0,355","0,332"
E_300,"0,179","0,171","0,195"
F_300,"0,162","0,117","0,133"
G_300,"0,091","0,09","0,092"
H_300,"0,073","0,072","0,077"
