Wavelength,empty,A5_H2O,A4_bca_500,E5_bca_16x,G5_bca_64x,Н20 - empty
200,"2,092","2,205","2,7","2,527","2,451","0,113"
205,"1,313","1,509","2,775","2,669","2,569","0,196"
210,"0,558","0,844","2,832","2,64","2,557","0,286"
215,"0,287","0,519","2,864","2,652","2,574","0,232"
220,"0,185","0,383","2,941","2,749","2,646","0,198"
225,"0,134","0,292","3,115","2,9","2,744","0,158"
230,"0,111","0,225","3,436","3,228","2,5","0,114"
235,"0,094","0,165","3,27","2,999","1,364","0,071"
240,"0,08","0,118","3,254","1,577","0,571","0,038"
245,"0,071","0,094","3,317","0,858","0,307","0,023"
250,"0,065","0,079","3,199","0,632","0,234","0,014"
255,"0,059","0,07","3,061","0,629","0,225","0,011"
260,"0,054","0,063","3,08","0,743","0,25","0,009"
265,"0,051","0,06","2,957","0,856","0,275","0,009"
270,"0,049","0,057","2,938","1,018","0,315","0,008"
275,"0,047","0,055","2,92","1,163","0,35","0,008"
280,"0,046","0,053","2,84","1,184","0,356","0,007"
285,"0,046","0,052","2,862","1,02","0,312","0,006"
290,"0,044","0,049","2,872","0,652","0,212","0,005"
295,"0,043","0,048","2,706","0,289","0,126","0,005"
300,"0,042","0,046","1,769","0,173","0,092","0,004"
305,"0,041","0,045","1,04","0,116","0,075","0,004"
310,"0,039","0,043","0,724","0,093","0,067","0,004"
315,"0,038","0,042","0,616","0,084","0,063","0,004"
320,"0,036","0,04","0,537","0,078","0,06","0,004"
325,"0,035","0,039","0,485","0,073","0,058","0,004"
330,"0,034","0,038","0,443","0,069","0,055","0,004"
335,"0,033","0,037","0,411","0,065","0,053","0,004"
340,"0,032","0,036","0,38","0,062","0,052","0,004"
345,"0,031","0,035","0,35","0,059","0,05","0,004"
350,"0,03","0,034","0,324","0,057","0,048","0,004"
